Category,Name,URL,Attribution,Description,Owner,Owner URL,Keywords
City Government,"Rudy W. Giuliani, 1994-2001",City-Government/Rudy-W-Giuliani-1994-2001/wchz-a6hh,Department of Records and Information Services (RECORDS),"""This inventory provides folder-level access to the records of the mayoral administration of Rudy W. Giuliani, 1994-2001.
""",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"mayor, mayoral, records, administration, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, inventory, library, catalog, catalogue"
City Government,State Assembly Districts,City-Government/State-Assembly-Districts/pf5b-73bw,Department of City Planning (DCP),GIS data: Boundaries of State Assembly Districts,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"gis data: state assembly districts, boundary, boundaries, dcp, city planning, politics"
Education,Graduation Outcomes - School Level Classes of 2005-2011 - ELL,Education/Graduation-Outcomes-School-Level-Classes-of-2005-2/i37z-2ty9,Department of Education (DOE),Latest available data and trends in graduation and dropout outcomes by school and ELL status.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"graduation outcome, school, ell, lifelong learning"
Social Services,HPD,Social-Services/HPD/a2rp-w9d8,311,All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,sbauch,http://data.cityofnewyork.us/api/users/exc5-8kjf,"311, 311 service requests, 2010, 2011, service request status, all service requests"
Public Safety,NYC Park Crime Data,Public-Safety/NYC-Park-Crime-Data/ezds-sqp6,Police Department (NYPD),NYC Park Crime Data,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"nyc park crime data, police, nypd"
Housing & Development,"DOF: Summary of Neighborhood Sales in Brooklyn for Class 1-, 2- and 3-Family homes - 2008",Housing-Development/DOF-Summary-of-Neighborhood-Sales-in-Brooklyn-for-/thrx-b6bc,Department of Finance (DOF),"The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of neighborhood sales for Class 1-, 2- and 3-Family homes in Brooklyn in 2008.

This list includes all sales of 1-, 2-, and 3-Family Homes' from January 1st, 2008 to December 31, 2008, whose sale price is equal to or more than $150,000.  The Building Class Category for Sales is based on the Building Class at the time of the sale.
Update Frequency: Annually",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"family homes, class-1, class-2, class-3, borough, brooklyn"
Transportation,6H44,Transportation/6H44/i8x4-3euf,Taxi and Limousine Commission (TLC),This list contains information on the status of current medallion vehicles authorized to operate in New York City.,John Justive,http://data.cityofnewyork.us/api/users/3xd9-6iis,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
Social Services,pigeon waste,Social-Services/pigeon-waste/wxjt-xj3w,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,aaron.m,http://data.cityofnewyork.us/api/users/4dkz-hnqj,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Transportation,Barbara Przezdziecka,Transportation/Barbara-Przezdziecka/5cnc-qn7q,Taxi and Limousine Commission (TLC),This list contains information on the status of current medallion vehicles authorized to operate in New York City.,Content50,http://data.cityofnewyork.us/api/users/xuqp-ds5g,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
Social Services,2009_Rollup,Social-Services/2009_Rollup/hh4t-gy2j,311,All 311 Requests from year 2009. This is historical data and will not be updated.,jchen85,http://data.cityofnewyork.us/api/users/wa7s-w2pp,"311, 311 service requests, 2009, all service requests"
Education,Math Test Results 2006-2012 - District - All Students,Education/Math-Test-Results-2006-2012-District-All-Students/7yig-nj52,Department of Education (DOE),Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by district.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"math test result, grade, district, all student, lifelong learning"
Public Safety,Race Of Victims Whose Allegations Were Substantiated 2005 - 2009,Public-Safety/Race-Of-Victims-Whose-Allegations-Were-Substantiat/x8rc-3utf,Civilian Complaint Review Board (CCRB),CCRB: Race of Officers against Whom Allegations Were Substantiated 2005 - 2009,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics, disciplinary recommendation, allegation, misconduct"
Public Safety,CCRB: Average Days for the Police Department to Close Substantiated CCRB Cases  2005 - 2009,Public-Safety/CCRB-Average-Days-for-the-Police-Department-to-Clo/niyd-ckq3,Civilian Complaint Review Board (CCRB),"Civilian Complaint Review Board (CCRB)complaint activity data, 2005-2009.  The time it takes the NYPD to resolve substantiated cases is measured from the date that the CCRB physically transferred the case file to the department until the last day of the month in which the department closed the case. The department does not inform the CCRB of its actual disposition date —just the month in which it closed the case. In addition, when the Department Advocate's Office refers a case to a commanding officer for the imposition of a command discipline, the NYPD considers the case closed and reports that closure to the CCRB. It is subsequent to this closure date that the commanding officer decides upon a penalty consistent with the level of command discipline proscribed by the Department Advocate's Office. For cases that proceeded to administrative hearings, the time it takes for judges to render written decisions is included in calculating the department's closure time.
Update Schedule: Annually",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics"
Social Services,recent 311,Social-Services/recent-311/bxtq-h7wr,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Chris,http://data.cityofnewyork.us/api/users/3c2b-rx7i,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Housing & Development,2010-11 Disciplinary Actions Unlicensed Electricians And Contractors,Housing-Development/2010-11-Disciplinary-Actions-Unlicensed-Electricia/ebjh-qsyx,Department of Buildings (DOB),2010-11 Disciplinary Actions Unlicensed Electricians And Contractors,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dob, department of buildings, buildings, disciplinary actions, electrician, plumber, master plumber, architect, engineer, surrender of privileges, elevator, offender, clean web"
Education,School Progress Report Multi-year 2007-2011,Education/School-Progress-Report-Multi-year-2007-2011/5fsg-d8c9,Department of Education (DOE),"Progress Reports grade each school with an A, B, C, D, or F.  These reports focus on a school's learning environment, student performance, and student progress.  They were designed to help parents, teachers, principals, and others understand how well schools are doing—and compare them to other, similar schools.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"school progress report, report card, lifelong learning"
NYC BigApps,NYPD MV Collisions,NYC-BigApps/NYPD-MV-Collisions/scww-cdm5,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,D13,http://data.cityofnewyork.us/api/users/mgr6-e6rb,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
Social Services,Partners in Preparedness,Social-Services/Partners-in-Preparedness/h4jn-x3ty,Office of Emergency Management (OEM),List of orgarnizations who have completed the necessary Emergency Preparedness tasks,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"oem, emergency, management, services, preparedness"
City Government,Beaches,City-Government/Beaches/qvtg-k2hn,Department of Parks and Recreation (DPR),Directory of Department of Parks and Recreation (DPR) beaches.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"beaches, parks, dpr"
Education,Graduation Outcomes - School Level - Classes of 2005-2011 - Ethnicity,Education/Graduation-Outcomes-School-Level-Classes-of-2005-2/6jad-5sav,Department of Education (DOE),Latest available data and trends in graduation and dropout outcomes by school and ethnicity,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"graduation outcome, school, ethnicity, lifelong learning"
Housing & Development,satellite point,Housing-Development/satellite-point/xcxy-v2u9,School Construction Authority (SCA),New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction.,cpersheff,http://data.cityofnewyork.us/api/users/bn9x-3kk4,"school, construction, authority, sca, capital, improvement, project, current, education"
City Government,Speed Camera violations,City-Government/Speed-Camera-violations/hekt-pqw7,Department of Finance (DOF),Parking violations issued by the City of New York.,Mike,http://data.cityofnewyork.us/api/users/7ukw-z2kb,"finance, dof, stars, ticket, violation, summons, parking ticket"
City Government,Food Carts,City-Government/Food-Carts/h4k9-fff9,Mayor's Office of Data Analytics (MODA),The Multi Agency Permits dataset contains the permits data from two different data sources/exchanges – DOB Jobs Permits and DOHMH Permits,jennifermapping,http://data.cityofnewyork.us/api/users/9vx7-bu4t,"moda, multi agency permits, dob jobs permits, dohmh permits, jobs permits, permits, dob, dohmh"
Social Services,nitin_311,Social-Services/nitin_311/pwbx-nrce,311,All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,Nitin,http://data.cityofnewyork.us/api/users/k557-hc4e,"311, 311 service requests, 2010, 2011, service request status, all service requests"
Social Services,DYCD after-school programs: Fatherhood,Social-Services/DYCD-after-school-programs-Fatherhood/esw6-z4id,Department of Youth and Community Development (DYCD),"Facilities in New York City, by agency and site, that offer Family Support after-school “Fatherhood Initiative Programs” for young adults ages 16 to 24. Submitted by the Department of Youth and Community Development (DYCD).
Update Frequency: Annually",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"jobs and economic mobility, community, development, community development, school, after-school, after-school programs, programs, family, family support, fatherhood, initiative, fatherhood initiative, adults, young adults, lifelong learning"
Social Services,Bronx 311 HPD General Construction complaints,Social-Services/Bronx-311-HPD-General-Construction-complaints/kkep-f54p,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,cpbride,http://data.cityofnewyork.us/api/users/v4c9-bc9b,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Recreation,FC BID Walkof Fame Data,Recreation/FC-BID-Walkof-Fame-Data/yczb-msz7,Fashion Center BID,Data from the FC BID Walk of Fame,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"fc bid, walk of fame, fame, bid, artist, designer"
Education,Projected Public School Ratio,Education/Projected-Public-School-Ratio/n7ta-pz8k,School Construction Authority (SCA),Estimated # of students to be generated by future housing growth,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"school, construction, authority, sca, students"
Housing & Development,Open Balance (Staten Island),Housing-Development/Open-Balance-Staten-Island-/djj3-qxwf,Department of Finance (DOF),Property tax balance and payment information for all active properties,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"department of finance, finance, dof, staten island, borough, statement of account"
Transportation,4F PLATE SEARCH,Transportation/4F-PLATE-SEARCH/98kt-tzze,Taxi and Limousine Commission (TLC),This list contains information on the status of current medallion vehicles authorized to operate in New York City.,JC,http://data.cityofnewyork.us/api/users/pd2z-kb97,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
Health,HIV Condom Distribution Sites,Health/HIV-Condom-Distribution-Sites/f7ta-5e24,Department of Health and Mental Hygiene (DOHMH),Location and facility information for businesses and providers who distribute the New York City condom,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,
Social Services,Bronx 311/DSNY 15 - Street Cond/Dump-Out/Drop-Off,Social-Services/Bronx-311-DSNY-15-Street-Cond-Dump-Out-Drop-Off/pcea-53zw,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,cpbride,http://data.cityofnewyork.us/api/users/v4c9-bc9b,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Noise Complaints in NYC 2010 to Now,Social-Services/Noise-Complaints-in-NYC-2010-to-Now/schv-9mb7,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,yono,http://data.cityofnewyork.us/api/users/muwy-z4di,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Transportation,subway,Transportation/subway/yd99-jndh,Metropolitan Transportation Authority (MTA),Map of NYC Subway Entrances,andrewwj74,http://data.cityofnewyork.us/api/users/hi8t-w5pv,
Public Safety,CCRB: Attribution of Complaints to Patrol Borough Brooklyn North 2005 - 2009,Public-Safety/CCRB-Attribution-of-Complaints-to-Patrol-Borough-B/zwt9-6u9n,Civilian Complaint Review Board (CCRB),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics"
Housing & Development,DOF: Condominium Comparable Rental Income – Brooklyn – FY 2009/2010,Housing-Development/DOF-Condominium-Comparable-Rental-Income-Brooklyn-/w6yt-hctp,Department of Finance (DOF),"The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Schedule: Annually",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"department of finance, finance, dof, rental property, condominiums, cooperatives, residential, apartment, buildings, rental properties, brooklyn, borough"
Education,School Progress Report 2006-2007,Education/School-Progress-Report-2006-2007/weg5-33pj,Department of Education (DOE),"Progress Reports grade each school with an A, B, C, D, or F.  These reports focus on a school's learning environment, student performance, and student progress.  They were designed to help parents, teachers, principals, and others understand how well schools are doing—and compare them to other, similar schools.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"school progress report, report card, lifelong learning"
Education,2009 School Survey,Education/2009-School-Survey/ens7-ac7e,Department of Education (DOE),"2009 school survey with ratings in categories such as parental academic expectations, teacher academic expectations, student engagement, safety, and other categories",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"department of education, education, board of ed, school, schools, p.s., jhs, is, high school, junior high school, elementary, learning, survey, lifelong learning"
City Government,2000 Census Tracts,City-Government/2000-Census-Tracts/ysjj-vb9j,Department of City Planning (DCP),GIS data: Boundaries of 2000 Census Tracts,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"2000 census tracts, dcp, census, geographic, location, map, cartography, boundary, tract, survey, poll"
Education,school report by zip,Education/school-report-by-zip/87qa-8iha,Department of Education (DOE),"2009/10 Progress Report results for all schools (data as of 2/2/2011)

Peer indexes are calculated differently depending on School Level.  Schools are only compared to other schools in the same School Level (e.g., Elementary, K-8, Middle, High, Transfer)

1) Elementary, K-8, K-3, K-2 - peer index is a value from 0-100.  We use a composite demographic statistic based on % ELL, % SpEd, % Title I free lunch, and % Black/Hispanic.  Higher values indicate student populations with higher need.

2) Middle - peer index is a value from 1.00-4.50.  For middle schools, we use the average 4th grade proficiency ratings in ELA and Math and the % SpEd. Lower values indicate student populations with higher need.

3) High School - peer index is a value from 1.00-4.50. For high schools, we use the average 8th grade proficiency, the % SpEd, the % Self-contained, and the % overage. Lower values indicate student populations with higher need.",Nilsim,http://data.cityofnewyork.us/api/users/376i-b2vs,
Social Services,DOHMH,Social-Services/DOHMH/8das-cmyz,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,wyc,http://data.cityofnewyork.us/api/users/hrak-h56t,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,311 Commercial Noise Service Requests_2010 to Present_by MN CB,Social-Services/311-Commercial-Noise-Service-Requests_2010-to-Pres/s8iy-m77k,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,J Dubovsky,http://data.cityofnewyork.us/api/users/vu4s-cvq4,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,CB7 Illegal Parking Complaints - 2014 YTD,Social-Services/CB7-Illegal-Parking-Complaints-2014-YTD/u4vc-h7fh,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Chris Whong,http://data.cityofnewyork.us/api/users/xpic-k57b,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Environment,Catch Basin Inspection and Cleaning Activity,Environment/Catch-Basin-Inspection-and-Cleaning-Activity/ppzj-4i42,Department of Environmental Protection (DEP),Data from tables and charts included in DEP's Combined Sewer Overflow Best Management Practices Annual Report,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"cso bmp report - catch basin survey and cleaning, dep, environment"
City Government,FOIL Report – All Markets Approved,City-Government/FOIL-Report-All-Markets-Approved/q8fg-j5sk,Business Integrity Commission (BIC),"Approved wholesale companies names , addresses and contact number",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"wholesale, market, fulton, fish, gansevoort, hunts point, terminal, produce"
Transportation,current medallion status feb 19,Transportation/current-medallion-status-feb-19/85cw-rpcp,Taxi and Limousine Commission (TLC),This list contains information on the status of current medallion vehicles authorized to operate in New York City.,gregoryh,http://data.cityofnewyork.us/api/users/3kjh-9q53,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
Social Services,Possibly Alcohol Related,Social-Services/Possibly-Alcohol-Related/jfcf-6yk9,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,abg,http://data.cityofnewyork.us/api/users/mtgq-a8ud,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Education,2006-07 Class Size - By Borough,Education/2006-07-Class-Size-By-Borough/4g4r-7dfb,Department of Education (DOE),"Citywide Class Size Report, Borough, Program, and Grade or Service Category 

SOURCES: 10/31/06 Official Register (K-9) and 12/15/06 Register/Schedule (9-12)
#Grade 9 not in high schools
##Indicates how special class is delivered

For schools with students in any grades between Kindergarten and 9th grade (where 9th grade is the termination grade for the school), class size is reported by four program areas: general education, special education self-contained class, collaborative team teaching and gifted and talented self-contained class. Within each program area class size is reported by grade or service category, which indicates how a special education self-contained class is delivered. Class size is calculated by dividing the number of students in a program and grade by the number of official classes in that program and grade. 

The following data is excluded from all the reports: District 75 schools, bridge classes which span more than one grade, classes with fewer than five students (for other than special education self-contained classes) and classes with one student (for special education self-contained classes). On the summary reports programs and grades with three or fewer classes are excluded from the citywide, borough and region reports and programs and grades with one class are excluded from the district report. For schools with students in any grades between 9th and 12th grade (where 9th grade is not the termination grade for the school), class size is reported by two program areas: general education and special education. For general education students class size is reported by grade for each core subject area: English, Math, Science and Social Studies. For special education students with a self-contained program recommendation, class size is reported by service category (self-contained or mainstream) for each core subject area. Since high school classes may contain students in multiple grades and programs, class size is calculated by taking a weighted average of all the classes in a core subject area with students in a particular grade or program. For example, there are 75 ninth graders enrolled at a high school. 25 ninth graders attend a Math class with 28 students, a second group of 25 ninth graders attend a Math class with 25 students, and a third group of 25 ninth graders attend a Math class with 30 students. Average class size for ninth grade Math equals: (25x28 + 25x25 + 25x30)/75 = 27.7. 

The Pupil Teacher Ratio is also provided on the school level report. Pupil Teacher Ratio is another means to evaluate the instructional resources provided at a school. Pupil Teacher Ratio for All Students is calculated by dividing the number of students at a school by the number of full-time equivalent teachers, including both teachers in classes taught by two teachers, “cluster” teachers providing instruction in specialized topics like art or science, and teachers providing special education instruction. Pupil Teacher Ratio Excluding Special Education is calculated by dividing the number of non-special education students at a school by the number of full-time equivalent non-special education teachers.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,lifelong learning
Social Services,Office Of Adult And Continuing Education Location Directory,Social-Services/Office-Of-Adult-And-Continuing-Education-Location-/vspn-8tzq,Mayor's Office of Adult Education (ADULTED),Listing of adult and continuing education program locations,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"office of adult and continuing education location directory, jobs and economic mobility"
Transportation,Non-Duplicative Database,Transportation/Non-Duplicative-Database/27gt-bicb,Taxi and Limousine Commission (TLC),This list contains information on the status of current medallion vehicles authorized to operate in New York City.,BenD,http://data.cityofnewyork.us/api/users/dwgy-668f,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
Social Services,Manhattan Noise Compaints 2005 Test,Social-Services/Manhattan-Noise-Compaints-2005-Test/z57s-qzmg,311,Test data from all 311 Service Requests for 2005 in Manhattan.,Louie,http://data.cityofnewyork.us/api/users/zdz4-j4py,"311, 311 service requests, 2005, all service requests"
Transportation,Yellow Medallion Taxicabs - Drivers Who Have Completed Passenger Assistance Training,Transportation/Yellow-Medallion-Taxicabs-Drivers-Who-Have-Complet/ucrw-jk24,Taxi and Limousine Commission (TLC),"Yellow Medallion Taxicabs are the official taxis of New York City. There are currently about 13,000 licensed taxicabs and they provide transportation for passengers via street hails. Medallion Taxicab Drivers face a unique set of requirements in order to be licensed to drive a yellow taxicab. 

This list includes the driver names, TLC license number, and license expiration date of Yellow Medallion Drivers who have completed both Accessible Passenger Assistance Training Courses.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"business, taxi, vehicle, transportation, license"
Social Services,NYCHA Applicant Income Limits,Social-Services/NYCHA-Applicant-Income-Limits/yizy-365y,New York City Housing Authority (NYCHA),Income limits by household size for public housing,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"nycha, nyc housing, public housing, application, subsidized housing"
Social Services,311 Night Noise Survey CB 3_Bar/Restaurants & Streets/Sidewalks,Social-Services/311-Night-Noise-Survey-CB-3_Bar-Restaurants-Street/hnb5-znci,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,J Dubovsky,http://data.cityofnewyork.us/api/users/vu4s-cvq4,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Housing & Development,Directory of Horseback Riding Trails,Housing-Development/Directory-of-Horseback-Riding-Trails/sxe3-hucm,Department of Parks and Recreation (DPR),Horseback riding trails in New York City Department of Parks & Recreation properties.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,healthy living
City Government,DOHMH Food Permits,City-Government/DOHMH-Food-Permits/mphz-k8gq,Mayor's Office of Data Analytics (MODA),The Multi Agency Permits dataset contains the permits data from two different data sources/exchanges – DOB Jobs Permits and DOHMH Permits,Eric Carlson,http://data.cityofnewyork.us/api/users/q6q9-n67i,"moda, multi agency permits, dob jobs permits, dohmh permits, jobs permits, permits, dob, dohmh"
City Government,allmfvecbvios_v1,City-Government/allmfvecbvios_v1/dpqp-qhat,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",MHi,http://data.cityofnewyork.us/api/users/e95r-wmb7,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
City Government,Manhattan 2009 TC Reductions,City-Government/Manhattan-2009-TC-Reductions/bxx9-kwnf,New York City Tax Commission (TAXCOMM),Tax Commission Actions on Applications in year 2009 Reducing Assessments or Reclassifying Property.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"2009, tax, commission, apply, application, assess, reclassify, reduce, reduction, reclassified, property, action"
City Government,Capital Grants,City-Government/Capital-Grants/9umc-3b2y,Manhattan Borough President (MBP),This list contains information on capital grants,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"capital grants, mbp, manhattan borough president (mbp)"
Recreation,Scenic Landmarks,Recreation/Scenic-Landmarks/gi7d-8gt5,Landmarks Preservation Commission (LPC),"This dataset contains boundaries and associated attribute information for all designated scenic landmarks or areas under consideration for scenic landmark designation (i.e. calendared) by the New York City Landmarks Preservation Commission (LPC). The geographic locations of the polygons in this dataset are derived primarily from the Department of City Planning's PLUTO dataset, and therefore discrepancies may arise where the LPC dataset has not been updated with information from the most recent PLUTO releases. Please pay close attention to the field descriptions present in the file's metadata to understand how to use this dataset. More information on these records may be found in the Landmark List shapefile (points). Please contact LPC if there are questions or concerns.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,
Education,Math Test Results 2006-2012 - School - Gender,Education/Math-Test-Results-2006-2012-School-Gender/b9uf-7skp,Department of Education (DOE),Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by school and  gender.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"math test result, grade, school, gender, lifelong learning"
Social Services,HRA Facts,Social-Services/HRA-Facts/56bx-u7iw,Human Resources Administration (HRA),HRA facts from the Office of Data Reporting and Analysis (ODRA),NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"hra facts, hra, odra, human resources"
Social Services,Manhattan Noise 2005 Test - Addenum 1,Social-Services/Manhattan-Noise-2005-Test-Addenum-1/gfgw-b9bj,311,311 Service Requests for 2005. This is historical data and will not be updated.,Louie,http://data.cityofnewyork.us/api/users/zdz4-j4py,"311, 311 service requests, 2005, all service requests"
Business,PATH Line,Business/PATH-Line/d7n3-sf2d,Department of Information Technology & Telecommunications (DoITT),PATH Line,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"doitt gis, doittgis, path line"
City Government,Pools,City-Government/Pools/3vjv-6tf5,Department of Parks and Recreation (DPR),Directory Pools,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"pools, dpr, parks"
NYC BigApps,Commercial Building Profiles,NYC-BigApps/Commercial-Building-Profiles/aumr-wgtk,NYC ACRE,Data to solve NYC ACRE's BigIdea,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"nyc acre, big apps, bigapps, #nycacre, #business, #citygovernment"
Housing & Development,DOF: Condominium Comparable Rental Income – Bronx – FY 2011/2012,Housing-Development/DOF-Condominium-Comparable-Rental-Income-Bronx-FY-/3qfc-4tta,Department of Finance (DOF),"Condominiums and cooperatives are valued as if they were residential rental apartments. Income information from similar rental properties is applied to determine value.
The Department of Finance (DOF) chooses similar properties to value condos and coops. Properties are selected based on a combination of factors such as: land location, income levels, building age and construction and exemptions and subsidies.
Update Schedule: Annually",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"department of finance, finance, dof, rental property, condominiums, residential, apartment, buildings, rental properties, bronx, borough"
Recreation,Special Event Concession Fee Details,Recreation/Special-Event-Concession-Fee-Details/7cqi-bt79,Department of Parks and Recreation (DPR),Special Event Concession Fee details for Various Events,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dpr, recreation, park, event, permit, fee, healthy living"
Housing & Development,Directory Of NYCHA NORC Program Core Services,Housing-Development/Directory-Of-NYCHA-NORC-Program-Core-Services/39pe-uzy3,Department of City Planning (DCP),Details about the NYCHA NORC Program Core Services,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dcp, city, planning, senior, norc, nycha, service"
Social Services,Map,Social-Services/Map/6i23-tfdi,311,NYC Noise complaints for 2012,ReldresalWashington,http://data.cityofnewyork.us/api/users/kiar-i5gs,"311, 311 service requests, 2010, 2011, service request status, all service requests"
Social Services,Animals,Social-Services/Animals/6rs3-kg3k,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Brian Quinn,http://data.cityofnewyork.us/api/users/amy2-a8qg,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Recycling,Social-Services/Recycling/85pa-xjkr,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Kitaychik,http://data.cityofnewyork.us/api/users/pkmt-3q94,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Curb and Sidewalk Complaints,Social-Services/Curb-and-Sidewalk-Complaints/huz9-8jhi,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Melissa Berry,http://data.cityofnewyork.us/api/users/76h8-vnqg,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
City Government,Landfills,City-Government/Landfills/6gvx-hydd,Department of Parks and Recreation (DPR),Directory of Landfills,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"landfills, dpr, parks"
